artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,quality,perf_id,album,album_date,repetition
Sviatoslav Richter,0,"13 Preludes, Op. 32 (Excerpts): No. 12 in G-Sharp Minor [Live]",129.84,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00020.mid",https://www.youtube.com/watch?v=lJd_n8riZYs,background noise,00020,"Rachmaninoff, Prokofiev & Tchaikovsky: Piano Works (Live)",2021-11-05,
Sviatoslav Richter,0,"13 Preludes, Op. 32 (Excerpts): No. 12 in G-Sharp Minor [Live]",131.56,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00021.mid",https://www.youtube.com/watch?v=xACNYfcfLow,low quality,00021,Ravel & Rachmaninoff: Piano Works (Live),2021-07-23,
Sviatoslav Richter,0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor. Allegro (Live)",136.04,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00022.mid",https://www.youtube.com/watch?v=L8CZiW3cRrE,low quality,00022,"Richter Archives, Vol. 15: 1965 Carnegie Hall Recital (Live)",2017-05-19,
Sviatoslav Richter,0,"13 Préludes, Op. 32: No. 12 in G-Sharp Minor (Allegro) [Live]",131.853,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00023.mid",https://www.youtube.com/watch?v=uMLzp1B-4FQ,low quality,00023,"Sviatoslav Richter Archives, Vol. 10: Carnegie Hall 1960 (Live)",2017-05-19,
Sviatoslav Richter,0,"13 Préludes, Op. 32: No. 12 in G-Sharp Minor (Allegro) [Alternate Performance] [Live]",133.44,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00024.mid",https://www.youtube.com/watch?v=PZ1lgWCdbdE,low quality,00024,"Sviatoslav Richter Archives, Vol. 10: Carnegie Hall 1960 (Live)",2017-05-19,
Sviatoslav Richter,0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor: Allegro",141.666,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00025.mid",https://www.youtube.com/watch?v=p1asYfE4IcY,,00025,The Legendary 1958 Sofia Recital,2013-03-01,
Sviatoslav Richter,0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor: Allegro",125.133,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00026.mid",https://www.youtube.com/watch?v=h5QtqZy_R3g,,00026,Richter in Budapest,2011-10-04,
Sviatoslav Richter,0,"Preludes, Op. 32: No. 12 in G-Sharp Minor",132.426,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00027.mid",https://www.youtube.com/watch?v=1CAa8u90Ljo,low quality,00027,"Sviatoslav Richter Recital - Live at Carnegie Hall, October 28, 1960",1962,
Vladimir Horowitz,2,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",182.32,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00028.mid",https://www.youtube.com/watch?v=ir4CKrPoVzM,,00028,"Vladimir Horowitz in Recital at Ambassador College, Pasadena, February 22, 1976",2015-12-11,
Vladimir Horowitz,2,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",185.053,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00029.mid",https://www.youtube.com/watch?v=zWFF17Ohw4A,,00029,"Vladimir Horowitz in Recital at the Metropolitan Opera House, New York City, November 1, 1981",1982,
